slug,business_name,city,state,postal_code,source_phone,source_website,source_address,source_place_id,seed_status,fetched_date
your-neighborhood-locksmith,Your Neighborhood Locksmith,Boston,MA,,+1 617-784-6595,,,ChIJSTxGixV_44kRLDEEtE473c0,unclaimed,2026-08-10
sherlocklock-boston,SherlockLock,Boston,MA,02127,+1 617-468-3444,,"110 K St Unit 4, Boston, MA 02127",ChIJUbg4sVE00oARRXw0LqIYctg,unclaimed,2026-08-10
city-locksmith-24-7,City Locksmith 24/7,Boston,MA,,+1 617-383-7290,,,ChIJcYBXS_J544kRTuIggolhjro,unclaimed,2026-08-10
star-locksmith,Star Locksmith,Brighton,MA,02135,+1 617-782-9204,,"Brighton, MA 02135",5piPp3BOPtxK8hhZLqnoBQ,unclaimed,2026-08-10
mr-locksmith-boston,Mr Locksmith,Boston,MA,02115,+1 617-785-5857,http://www.my247mrlocksmith.com,"Boston, MA 02115",Lo0Y8fEJwwfN9NJf2437eA,unclaimed,2026-08-10
bostons-locksmith,Bostons Locksmith,Boston,MA,,+1 617-616-8602,,,ChIJk2LRX2t744kRqeZ-tENaFYk,unclaimed,2026-08-10
hms-locksmith,HMS Locksmith,Allston,MA,02134,+1 617-249-4949,https://hmslocksmith.com,"Allston, MA 02134",ChIJr1rP_Xx544kRFyAzAnfHl0I,unclaimed,2026-08-10
dial-lock-newton,Dial Lock Inc. - Mobile Locksmith of Newton,Newton,MA,,+1 617-401-0317,,,ChIJQVk-naEwiacRUQv3OhL33VA,unclaimed,2026-08-10
bolt-lock-key,Bolt Lock & Key,Brighton,MA,,+1 617-903-2095,,,ChIJQ3jzpTZ544kRbyj1_-iriIM,unclaimed,2026-08-10
brandy-auto-locksmith,Brandy Auto Locksmith,Boston,MA,02128,+1 617-229-7919,,"162 Liverpool St, Boston, MA 02128",ChIJFd--53px44kRrfmABZm2A1c,unclaimed,2026-08-10
carlmont-lock,Carlmont Lock,Cambridge,MA,02138,+1 617-492-8837,,"Cambridge, MA 02138",mRvyDnfDvuHILtst7fTvTA,unclaimed,2026-08-10
prof-locksmith,Prof Locksmith,Needham,MA,,+1 617-870-8468,,,ChIJm77A_CWC44kR1_YEA9lbrcg,unclaimed,2026-08-10
boston-prime-locksmith,Boston Prime Locksmith,Chelsea,MA,02150,+1 617-765-0768,,"48 Pearl St, Chelsea, MA 02150",ChIJ_UAHHsNx44kRcsMYoHYSr8c,unclaimed,2026-08-10
prime-locksmith-mobile-service,Prime Locksmith Mobile Service,Quincy,MA,02171,+1 617-238-1371,,"Quincy, MA 02171",ChIJvRhxgVl844kRGOiv8Bnlyys,unclaimed,2026-08-10
granite-lock,"Granite Lock Co., Inc.",Quincy,MA,02169,+1 617-472-2177,,"755 Southern Artery #3A, Quincy, MA 02169",FQbka4dyTWbsKsk4BE_LGw,unclaimed,2026-08-10
ja-locksmith,JA Locksmith,Greater Boston,MA,,+1 781-436-0016,,,ChIJ87h6CNFAAmkRuxw_0a7k7VE,unclaimed,2026-08-10
baystate-locksmith-services,Baystate Locksmith Services,Braintree,MA,02184,+1 781-843-5665,,"8 Washington Pl, Ste B2, Braintree, MA 02184",hcqrTSYLO3chtOsMEWqTVw,unclaimed,2026-08-10
quincy-lock,Quincy Lock,Quincy,MA,02169,+1 857-869-3865,,"Quincy, MA 02169",xSgsk_iLKe-CWxXXOt-ZDg,unclaimed,2026-08-10
cityside-locksmith,Cityside Locksmith,Somerville,MA,02143,+1 617-863-0609,,"Somerville, MA 02143",sSTXylsiemLlMQFbCAIjig,unclaimed,2026-08-10
masslock,Masslock Inc,Malden,MA,02148,+1 617-387-3500,,"285 Main St, Malden, MA 02148",PVUBNdN4PJInkzjvb9svaQ,unclaimed,2026-08-10
sir-locksalot,SIR Locksalot,Medford,MA,02155,+1 781-391-5801,,"71 Fulton St, Medford, MA 02155",neFsZ_xmjhc6yA_qA0RFog,unclaimed,2026-08-10
affordable-mobile-locksmith,Affordable Mobile Locksmith,Watertown,MA,02472,+1 617-480-9883,,"Watertown, MA 02472",T8KzzldPKf14VeVVr4oEsA,unclaimed,2026-08-10
watertown-finest-locksmith,Watertown Finest Locksmith LLC,Watertown,MA,02472,+1 617-752-1252,,"550 Arsenal St, Watertown, MA 02472",IGiRnq6hqK_Mpaz95hKpFw,unclaimed,2026-08-10
unlock-boston-locksmith,Unlock Boston Locksmith,Watertown,MA,,+1 617-952-2381,,,ChIJoybp2m6d44kR5JEWVF7tGyM,unclaimed,2026-08-10
sherman-lock-waltham,Sherman Lock Waltham Massachusetts,Waltham,MA,02453,+1 781-893-6651,,"673 Moody St, Waltham, MA 02453",hcp0vy0ntOQZXKWpzH5cxA,unclaimed,2026-08-10
linehan-lock,Linehan Lock,Watertown,MA,,+1 617-935-3390,,,ChIJW7C8j7KC44kRGitQd1kfpRc,unclaimed,2026-08-10
